,key,isMeta,bojTagId,problemCount,tag_name,tag_short
102,sprague_grundy,False,70,58,스프라그–그런디 정리,스프라그–그런디 정리
103,rabin_karp,False,61,19,라빈–카프,라빈–카프
104,suffix_array,False,77,68,접미사 배열과 LCP 배열,접미사 배열과 LCP 배열
105,sparse_table,False,84,88,희소 배열,희소 배열
106,multi_segtree,False,166,22,다차원 세그먼트 트리,다차원 세그먼트 트리
107,point_in_non_convex_polygon,False,57,9,오목 다각형 내부의 점 판정,오목 다각형 내부의 점 판정
108,articulation,False,4,44,단절점과 단절선,단절점과 단절선
109,planar_graph,False,168,24,평면 그래프,평면 그래프
110,smaller_to_larger,False,169,68,작은 집합에서 큰 집합으로 합치는 테크닉,작은 집합에서 큰 집합으로 합치는 테크닉
111,miller_rabin,False,47,12,밀러–라빈 소수 판별법,밀러–라빈 소수 판별법
112,pollard_rho,False,58,12,폴라드 로,폴라드 로
113,dancing_links,False,173,3,춤추는 링크,춤추는 링크
114,knuth_x,False,174,3,크누스 X,크누스 X
115,stoer_wagner,False,75,5,스토어–바그너,스토어–바그너
116,permutation_cycle_decomposition,False,171,42,순열 사이클 분할,순열 사이클 분할
117,cht,False,89,64,볼록 껍질을 이용한 최적화,볼록 껍질을 이용한 최적화
118,link_cut_tree,False,98,19,링크/컷 트리,링크/컷 트리
119,tsp,False,138,17,외판원 순회 문제,외판원 순회 문제
120,offline_queries,False,123,157,오프라인 쿼리,오프라인 쿼리
121,berlekamp_massey,False,110,22,벌래캠프–매시,벌래캠프–매시
122,kitamasa,False,112,7,키타마사,키타마사
123,min_enclosing_circle,False,162,7,최소 외접원,최소 외접원
124,tree_isomorphism,False,145,14,트리 동형 사상,트리 동형 사상
125,dp_deque,False,108,16,덱을 이용한 다이나믹 프로그래밍,덱을 이용한 다이나믹 프로그래밍
126,bidirectional_search,False,129,5,양방향 탐색,양방향 탐색
127,randomization,False,115,62,무작위화,무작위화
128,simulated_annealing,False,184,5,담금질 기법,담금질 기법
129,aho_corasick,False,2,23,아호-코라식,아호-코라식
130,euler_tour_technique,False,150,56,오일러 경로 테크닉,오일러 경로 테크닉
131,splay_tree,False,69,26,스플레이 트리,스플레이 트리
132,mo,False,50,29,mo's,Mo's
133,hld,False,35,55,Heavy-light 분할,Heavy-light 분할
134,pst,False,55,38,퍼시스턴트 세그먼트 트리,퍼시스턴트 세그먼트 트리
135,euler_characteristic,False,119,22,오일러 지표 (χ=V-E+F),오일러 지표
136,dual_graph,False,181,10,쌍대 그래프,쌍대 그래프
137,physics,False,116,34,물리학,물리학
138,manacher,False,44,16,매내처,매내처
139,half_plane_intersection,False,190,6,반평면 교집합,반평면 교집합
140,slope_trick,False,157,16,함수 개형을 이용한 최적화,함수 개형을 이용한 최적화
141,voronoi,False,82,8,보로노이 다이어그램,보로노이 다이어그램
142,euler_phi,False,151,24,오일러 피 함수,오일러 피 함수
143,stable_marriage,False,192,5,안정 결혼 문제,안정 결혼
144,a_star,False,186,1,a*,a*
145,bitset,False,152,40,비트 집합,비트 집합
146,burnside,False,16,8,번사이드 보조정리,번사이드 보조정리
147,matroid,False,104,9,매트로이드,매트로이드
148,flt,False,29,25,페르마의 소정리,페르마의 소정리
149,interpreter,False,156,11,인터프리터,인터프리터
150,delaunay,False,21,2,델로네 삼각분할,델로네 삼각분할
151,divide_and_conquer_optimization,False,91,25,분할 정복을 사용한 최적화,분할 정복을 사용한 최적화
152,rope,False,159,5,로프,로프
153,centroid,False,188,49,센트로이드,센트로이드
154,centroid_decomposition,False,18,45,센트로이드 분할,센트로이드 분할
155,sqrt_decomposition,False,130,61,제곱근 분할법,제곱근 분할법
156,pick,False,187,2,픽의 정리,픽
157,merge_sort_tree,False,155,22,머지 소트 트리,머지 소트 트리
158,hirschberg,False,163,4,히르쉬버그,히르쉬버그
159,dominator_tree,False,135,6,도미네이터 트리,도미네이터 트리
160,hall,False,34,11,홀의 결혼 정리,홀의 결혼 정리
161,knuth,False,90,7,크누스 최적화,크누스 최적화
162,linearity_of_expectation,False,179,23,기댓값의 선형성,기댓값의 선형성
163,directed_mst,False,23,3,유향 최소 신장 트리,유향 최소 신장 트리
164,green,False,183,2,그린 정리,그린
165,bipartite_graph,False,197,11,이분 그래프,이분 그래프
166,palindrome_tree,False,53,6,회문 트리,회문 트리
167,statistics,False,178,7,통계학,통계학
168,geometry_hyper,False,132,4,4차원 이상의 기하학,4차원 이상의 기하학
169,majority_vote,False,160,2,보이어–무어 다수결 투표,보이어–무어 다수결 투표
170,lucas,False,113,8,뤼카 정리,뤼카 정리
171,offline_dynamic_connectivity,False,52,12,오프라인 동적 연결성 판정,오프라인 동적 연결성 판정
172,monotone_queue_optimization,False,165,6,단조 큐를 이용한 최적화,단조 큐를 이용한 최적화
173,circulation,False,191,3,서큘레이션,서큘레이션
174,general_matching,False,15,7,일반적인 매칭,일반적인 매칭
175,z,False,83,7,z,Z
176,bayes,False,114,4,베이즈 정리,베이즈 정리
177,suffix_tree,False,182,4,접미사 트리,접미사 트리
178,alien,False,134,12,Aliens 트릭,aliens 트릭
179,tree_compression,False,193,2,트리 압축,트리 압축
180,utf8,False,199,2,utf-8 입력 처리,utf-8
181,rb_tree,False,94,1,레드-블랙 트리,레드-블랙 트리
182,discrete_sqrt,False,147,4,이산 제곱근,이산 제곱근
183,top_tree,False,105,2,탑 트리,탑 트리
184,generating_function,False,198,2,생성 함수,생성 함수
